Wrong country,فصل,%GT Total Export
چین,فصل 27,12.53%
امارات متحده عربی,فصل 27,7.75%
چین,فصل 29,5.28%
عراق,فصل 27,4.99%
چین,فصل 26,3.75%
چین,فصل 39,3.63%
ترکیه,فصل 27,3.44%
عراق,فصل 08,2.29%
پاکستان,فصل 27,2.11%
عراق,فصل 72,1.98%
عراق,فصل 07,1.92%
عراق,فصل 39,1.88%
هند,فصل 29,1.54%
ترکیه,فصل 76,1.28%
امارات متحده عربی,فصل 74,1.17%
عمان,فصل 27,1.16%
افغانستان,فصل 27,1.11%
عمان,فصل 72,0.98%
امارات متحده عربی,فصل 72,0.93%
عراق,فصل 84,0.82%
برزیل,فصل 31,0.79%
عراق,فصل 04,0.78%
افغانستان,فصل 72,0.75%
امارات متحده عربی,فصل 08,0.75%
عراق,فصل 69,0.71%
امارات متحده عربی,فصل 29,0.64%
ترکیه,فصل 31,0.64%
امارات متحده عربی,فصل 07,0.62%
چین,فصل 72,0.61%
عراق,فصل 73,0.59%
ارمنستان,فصل 86,0.57%
اندونزی,فصل 72,0.57%
فدراسیون روسیه,فصل 08,0.55%
هند,فصل 08,0.54%
ترکیه,فصل 39,0.54%
غنا,فصل 72,0.50%
ترکیه,فصل 74,0.49%
عراق,فصل 85,0.49%
کنیا,فصل 86,0.49%
ترکیه,فصل 08,0.46%
هند,فصل 27,0.45%
فدراسیون روسیه,فصل 07,0.44%
چین,فصل 25,0.44%
افغانستان,فصل 39,0.44%
ترکیه,فصل 72,0.43%
ترکیه,فصل 86,0.40%
عراق,فصل 23,0.39%
ترکیه,فصل 79,0.39%
عمان,فصل 31,0.37%
هند,فصل 28,0.34%
پاکستان,فصل 39,0.30%
عراق,فصل 19,0.29%
پاکستان,فصل 72,0.28%
ازبکستان,فصل 39,0.27%
عراق,فصل 20,0.27%
اردن,فصل 72,0.26%
عراق,فصل 70,0.26%
پاکستان,فصل 04,0.26%
پاکستان,فصل 08,0.25%
فدراسیون روسیه,فصل 39,0.25%
چین,فصل 03,0.25%
عراق,فصل 68,0.25%
کویت,فصل 25,0.25%
امارات متحده عربی,فصل 28,0.24%
فدراسیون روسیه,فصل 04,0.24%
بنگلادش,فصل 27,0.24%
عراق,فصل 25,0.23%
تاجیکستان,فصل 72,0.23%
عراق,فصل 21,0.22%
یمن,فصل 27,0.22%
هند,فصل 26,0.21%
جمهوری آذربایجان,فصل 39,0.21%
ارمنستان,فصل 72,0.21%
ترکیه,فصل 28,0.21%
چین,فصل 74,0.21%
عراق,فصل 76,0.20%
ترکمنستان,فصل 73,0.20%
موزامبیک,فصل 31,0.20%
عمان,فصل 74,0.18%
فدراسیون روسیه,فصل 84,0.17%
کره (جنوبی),فصل 26,0.17%
جمهوری آذربایجان,فصل 04,0.17%
هند,فصل 72,0.17%
افغانستان,فصل 57,0.16%
افغانستان,فصل 04,0.16%
قزاقستان,فصل 08,0.16%
عراق,فصل 48,0.16%
ترکیه,فصل 20,0.16%
امارات متحده عربی,فصل 26,0.16%
عراق,فصل 44,0.15%
افغانستان,فصل 29,0.15%
مصر,فصل 72,0.15%
جمهوری آذربایجان,فصل 72,0.15%
عمان,فصل 26,0.15%
افغانستان,فصل 84,0.14%
مکزیک,فصل 31,0.14%
ترکمنستان,فصل 72,0.13%
افغانستان,فصل 25,0.13%
سومالی,فصل 72,0.13%
هند,فصل 31,0.13%
ترکمنستان,فصل 39,0.12%
امارات متحده عربی,فصل 03,0.12%
عراق,فصل 94,0.12%
تاجیکستان,فصل 39,0.12%
عراق,فصل 34,0.12%
عراق,فصل 38,0.11%
بلغارستان,فصل 39,0.11%
افغانستان,فصل 08,0.11%
ازبکستان,فصل 72,0.11%
قرقیزستان,فصل 08,0.11%
مالزی,فصل 27,0.11%
ازبکستان,فصل 04,0.11%
ترکمنستان,فصل 85,0.11%
عراق,فصل 03,0.11%
ترکیه,فصل 70,0.11%
عراق,فصل 57,0.10%
فدراسیون روسیه,فصل 25,0.10%
ویتنام,فصل 27,0.10%
عراق,فصل 87,0.10%
ترکیه,فصل 29,0.10%
عراق,فصل 63,0.10%
امارات متحده عربی,فصل 09,0.10%
عراق,فصل 17,0.09%
هند,فصل 25,0.09%
قطر,فصل 04,0.09%
فدراسیون روسیه,فصل 55,0.09%
امارات متحده عربی,فصل 30,0.08%
سوریه,فصل 04,0.08%
ازبکستان,فصل 08,0.08%
پاکستان,فصل 28,0.08%
افغانستان,فصل 69,0.08%
گرجستان,فصل 72,0.08%
افغانستان,فصل 70,0.08%
عمان,فصل 25,0.07%
افغانستان,فصل 85,0.07%
افغانستان,فصل 76,0.07%
عراق,فصل 29,0.07%
اسپانیا,فصل 09,0.07%
آلمان,فصل 08,0.07%
افغانستان,فصل 73,0.07%
ارمنستان,فصل 39,0.07%
افغانستان,فصل 34,0.07%
قزاقستان,فصل 39,0.07%
عراق,فصل 64,0.07%
هنگ کنگ,فصل 08,0.07%
افغانستان,فصل 07,0.07%
کویت,فصل 72,0.07%
ازبکستان,فصل 23,0.07%
عراق,فصل 26,0.07%
امارات متحده عربی,فصل 04,0.06%
امارات متحده عربی,فصل 38,0.06%
تایوان,فصل 09,0.06%
ارمنستان,فصل 27,0.06%
ترکیه,فصل 84,0.06%
عراق,فصل 28,0.06%
پاکستان,فصل 40,0.06%
ترکمنستان,فصل 08,0.06%
آلمان,فصل 05,0.06%
هلند,فصل 15,0.06%
عراق,فصل 02,0.06%
آلمان,فصل 30,0.06%
لبنان,فصل 08,0.06%
جمهوری آذربایجان,فصل 07,0.05%
عراق,فصل 31,0.05%
عراق,فصل 95,0.05%
عمان,فصل 08,0.05%
فدراسیون روسیه,فصل 28,0.05%
ارمنستان,فصل 73,0.05%
افغانستان,فصل 20,0.05%
هند,فصل 40,0.05%
امارات متحده عربی,فصل 78,0.05%
عراق,فصل 06,0.05%
فدراسیون روسیه,فصل 03,0.05%
سوریه,فصل 08,0.05%
عراق,فصل 30,0.05%
چین,فصل 79,0.05%
افغانستان,فصل 09,0.05%
پاکستان,فصل 20,0.05%
کویت,فصل 03,0.05%
ترکیه,فصل 73,0.05%
امارات متحده عربی,فصل 76,0.05%
افغانستان,فصل 64,0.04%
چین,فصل 76,0.04%
افغانستان,فصل 21,0.04%
اریتره,فصل 27,0.04%
امارات متحده عربی,فصل 79,0.04%
ازبکستان,فصل 84,0.04%
امارات متحده عربی,فصل 25,0.04%
فدراسیون روسیه,فصل 87,0.04%
تاجیکستان,فصل 07,0.04%
عراق,فصل 61,0.04%
ارمنستان,فصل 28,0.04%
ترکیه,فصل 69,0.04%
ترکمنستان,فصل 27,0.04%
هند,فصل 39,0.04%
ارمنستان,فصل 04,0.04%
کنیا,فصل 27,0.04%
چین,فصل 08,0.04%
عراق,فصل 18,0.04%
عراق,فصل 56,0.04%
افغانستان,فصل 48,0.04%
گرجستان,فصل 04,0.04%
امارات متحده عربی,فصل 68,0.04%
ازبکستان,فصل 34,0.04%
افغانستان,فصل 19,0.04%
مالزی,فصل 26,0.04%
فدراسیون روسیه,فصل 29,0.04%
قزاقستان,فصل 04,0.04%
عراق,فصل 55,0.04%
چین,فصل 57,0.04%
گرجستان,فصل 39,0.04%
ترکیه,فصل 38,0.04%
امارات متحده عربی,فصل 70,0.04%
سومالی,فصل 19,0.04%
گرجستان,فصل 08,0.04%
افغانستان,فصل 17,0.03%
ترکمنستان,فصل 69,0.03%
امارات متحده عربی,فصل 84,0.03%
