Wrong country,فصل,%GT Total Import
چین,فصل 85,6.91%
چین,فصل 98,6.38%
ترکیه,فصل 71,5.48%
چین,فصل 84,5.00%
امارات متحده عربی,فصل 10,4.67%
امارات متحده عربی,فصل 84,4.34%
امارات متحده عربی,فصل 85,3.91%
امارات متحده عربی,فصل 87,2.12%
امارات متحده عربی,فصل 71,1.83%
چین,فصل 87,1.72%
فدراسیون روسیه,فصل 10,1.65%
ترکیه,فصل 87,1.41%
امارات متحده عربی,فصل 29,1.39%
ترکیه,فصل 10,1.29%
امارات متحده عربی,فصل 15,1.15%
ترکیه,فصل 84,1.08%
چین,فصل 72,1.00%
چین,فصل 39,0.87%
چین,فصل 29,0.85%
هند,فصل 09,0.80%
امارات متحده عربی,فصل 90,0.79%
امارات متحده عربی,فصل 39,0.73%
چین,فصل 38,0.73%
ترکیه,فصل 23,0.71%
آلمان,فصل 87,0.71%
امارات متحده عربی,فصل 38,0.66%
سویس,فصل 10,0.66%
امارات متحده عربی,فصل 23,0.66%
هلند,فصل 17,0.64%
چین,فصل 73,0.63%
امارات متحده عربی,فصل 40,0.62%
چین,فصل 48,0.61%
امارات متحده عربی,فصل 98,0.60%
آلمان,فصل 84,0.59%
هلند,فصل 23,0.56%
چین,فصل 90,0.55%
هنگ کنگ,فصل 10,0.53%
امارات متحده عربی,فصل 72,0.51%
چین,فصل 40,0.50%
امارات متحده عربی,فصل 27,0.49%
امارات متحده عربی,فصل 48,0.48%
امارات متحده عربی,فصل 09,0.47%
هنگ کنگ,فصل 98,0.46%
هند,فصل 10,0.45%
ترکیه,فصل 85,0.44%
ترکیه,فصل 39,0.44%
ترکیه,فصل 72,0.42%
امارات متحده عربی,فصل 76,0.41%
هلند,فصل 10,0.38%
سنگاپور,فصل 10,0.36%
سری لانکا,فصل 09,0.35%
ترکیه,فصل 08,0.34%
چین,فصل 10,0.33%
اتریش,فصل 30,0.33%
عمان,فصل 84,0.32%
امارات متحده عربی,فصل 44,0.32%
هند,فصل 08,0.32%
امارات متحده عربی,فصل 07,0.31%
آلمان,فصل 85,0.31%
ترکیه,فصل 02,0.31%
هند,فصل 28,0.29%
امارات متحده عربی,فصل 30,0.28%
ایتالیا,فصل 84,0.27%
امارات متحده عربی,فصل 24,0.27%
ترکیه,فصل 29,0.26%
هنگ کنگ,فصل 38,0.26%
هنگ کنگ,فصل 71,0.25%
امارات متحده عربی,فصل 12,0.25%
عمان,فصل 15,0.24%
ترکیه,فصل 55,0.24%
ترکیه,فصل 38,0.24%
چین,فصل 76,0.24%
لبنان,فصل 87,0.23%
ترکیه,فصل 90,0.22%
امارات متحده عربی,فصل 21,0.21%
ترکیه,فصل 12,0.21%
مناطق ویژه,فصل 76,0.21%
آلمان,فصل 90,0.21%
چین,فصل 27,0.20%
سوئد,فصل 90,0.20%
فدراسیون روسیه,فصل 84,0.20%
ترکیه,فصل 48,0.20%
ترکیه,فصل 30,0.20%
فرانسه,فصل 30,0.20%
فدراسیون روسیه,فصل 44,0.20%
عراق,فصل 84,0.20%
پاکستان,فصل 12,0.19%
امارات متحده عربی,فصل 28,0.19%
دانمارک,فصل 30,0.19%
کانادا,فصل 44,0.19%
امارات متحده عربی,فصل 02,0.19%
امارات متحده عربی,فصل 32,0.19%
چین,فصل 28,0.18%
چین,فصل 70,0.18%
هند,فصل 29,0.18%
عمان,فصل 10,0.18%
امارات متحده عربی,فصل 73,0.18%
چین,فصل 32,0.18%
پاکستان,فصل 08,0.17%
هنگ کنگ,فصل 29,0.17%
ترکیه,فصل 15,0.17%
هنگ کنگ,فصل 84,0.17%
عمان,فصل 27,0.17%
مناطق ویژه,فصل 28,0.16%
پاکستان,فصل 02,0.16%
ترکیه,فصل 18,0.15%
ترکیه,فصل 47,0.15%
مناطق ویژه,فصل 84,0.15%
چین,فصل 54,0.15%
سویس,فصل 12,0.14%
ترکیه,فصل 44,0.14%
فدراسیون روسیه,فصل 15,0.14%
چین,فصل 94,0.14%
ترکیه,فصل 32,0.14%
تاجیکستان,فصل 52,0.14%
مالزی,فصل 40,0.14%
پاکستان,فصل 10,0.14%
امارات متحده عربی,فصل 33,0.14%
قطر,فصل 47,0.14%
امارات متحده عربی,فصل 25,0.13%
کره (جنوبی),فصل 85,0.13%
امارات متحده عربی,فصل 55,0.13%
ترکیه,فصل 52,0.13%
هلند,فصل 04,0.12%
چین,فصل 68,0.12%
امارات متحده عربی,فصل 47,0.12%
ترکیه,فصل 98,0.12%
ترکیه,فصل 33,0.12%
عراق,فصل 76,0.12%
اسپانیا,فصل 85,0.12%
هنگ کنگ,فصل 85,0.11%
اسپانیا,فصل 48,0.11%
امارات متحده عربی,فصل 34,0.11%
ایالات متحده,فصل 90,0.11%
قزاقستان,فصل 10,0.11%
آلمان,فصل 38,0.11%
ایتالیا,فصل 90,0.10%
اتریش,فصل 84,0.10%
امارات متحده عربی,فصل 31,0.10%
چین,فصل 55,0.10%
سویس,فصل 90,0.10%
ایرلند,فصل 33,0.10%
امارات متحده عربی,فصل 18,0.10%
هند,فصل 02,0.10%
ترکیه,فصل 28,0.09%
تایوان,فصل 29,0.09%
فیلیپین,فصل 08,0.09%
هلند,فصل 12,0.09%
مالزی,فصل 15,0.09%
ترکیه,فصل 54,0.09%
ترکیه,فصل 40,0.09%
چین,فصل 83,0.09%
افغانستان,فصل 71,0.09%
کره (جنوبی),فصل 84,0.08%
هند,فصل 30,0.08%
چین,فصل 31,0.08%
سوریه,فصل 25,0.08%
امارات متحده عربی,فصل 52,0.08%
امارات متحده عربی,فصل 26,0.08%
چین,فصل 25,0.08%
لبنان,فصل 18,0.08%
سویس,فصل 23,0.08%
ژاپن,فصل 87,0.08%
هلند,فصل 90,0.08%
فدراسیون روسیه,فصل 30,0.07%
امارات متحده عربی,فصل 80,0.07%
ترکیه,فصل 34,0.07%
امارات متحده عربی,فصل 17,0.07%
کره (جنوبی),فصل 90,0.07%
تایوان,فصل 72,0.07%
چین,فصل 69,0.07%
عراق,فصل 78,0.07%
ترکیه,فصل 04,0.07%
هلند,فصل 38,0.07%
آلمان,فصل 30,0.07%
هند,فصل 84,0.07%
امارات متحده عربی,فصل 08,0.07%
امارات متحده عربی,فصل 20,0.07%
تایوان,فصل 84,0.07%
پاکستان,فصل 01,0.07%
امارات متحده عربی,فصل 54,0.07%
بلغارستان,فصل 90,0.07%
ترکیه,فصل 35,0.06%
ایتالیا,فصل 85,0.06%
ایتالیا,فصل 30,0.06%
اتریش,فصل 90,0.06%
فرانسه,فصل 90,0.06%
عمان,فصل 29,0.06%
ازبکستان,فصل 52,0.06%
سویس,فصل 29,0.06%
هند,فصل 38,0.06%
استرالیا,فصل 02,0.06%
بلژیک,فصل 84,0.06%
ایتالیا,فصل 38,0.06%
ترکیه,فصل 31,0.06%
چین,فصل 82,0.06%
امارات متحده عربی,فصل 35,0.06%
اسپانیا,فصل 84,0.06%
آلمان,فصل 73,0.06%
عمان,فصل 85,0.05%
چین,فصل 34,0.05%
چین,فصل 86,0.05%
امارات متحده عربی,فصل 82,0.05%
عراق,فصل 85,0.05%
امارات متحده عربی,فصل 83,0.05%
کره (جنوبی),فصل 87,0.05%
ترکیه,فصل 27,0.05%
ژاپن,فصل 40,0.05%
اسپانیا,فصل 31,0.05%
ترکیه,فصل 07,0.05%
آلمان,فصل 18,0.05%
تایلند,فصل 40,0.05%
سویس,فصل 30,0.05%
آلمان,فصل 12,0.05%
چین,فصل 44,0.05%
کره (جنوبی),فصل 39,0.05%
تایلند,فصل 44,0.05%
اسپانیا,فصل 30,0.05%
سنگاپور,فصل 40,0.05%
افغانستان,فصل 08,0.05%
اتریش,فصل 87,0.05%
مصر,فصل 26,0.05%
امارات متحده عربی,فصل 13,0.05%
عراق,فصل 40,0.05%
امارات متحده عربی,فصل 56,0.05%
انگلستان (بریتانیا),فصل 85,0.05%
مناطق آزاد,فصل 09,0.05%
اندونزی,فصل 48,0.04%
آلمان,فصل 32,0.04%
ویتنام,فصل 09,0.04%
ایتالیا,فصل 34,0.04%
چین,فصل 35,0.04%
فرانسه,فصل 13,0.04%
مناطق آزاد,فصل 33,0.04%
عمان,فصل 72,0.04%
چین,فصل 95,0.04%
برزیل,فصل 23,0.04%
امارات متحده عربی,فصل 96,0.04%
مالزی,فصل 39,0.04%
ایالات متحده,فصل 38,0.04%
آلمان,فصل 39,0.04%
بلاروس,فصل 55,0.04%
آلمان,فصل 21,0.04%
آلمان,فصل 72,0.04%
عراق,فصل 71,0.04%
آلمان,فصل 29,0.04%
ترکیه,فصل 56,0.04%
هنگ کنگ,فصل 39,0.04%
اسلواکی,فصل 87,0.04%
آلمان,فصل 69,0.04%
آلمان,فصل 24,0.04%
فدراسیون روسیه,فصل 07,0.04%
هند,فصل 72,0.04%
عراق,فصل 87,0.04%
اسپانیا,فصل 87,0.04%
هنگ کنگ,فصل 90,0.04%
کره (جنوبی),فصل 38,0.04%
ترکیه,فصل 21,0.04%
هنگ کنگ,فصل 48,0.04%
بنگلادش,فصل 53,0.04%
چین,فصل 81,0.04%
امارات متحده عربی,فصل 75,0.04%
سویس,فصل 85,0.03%
کره (جنوبی),فصل 48,0.03%
افغانستان,فصل 12,0.03%
ایرلند,فصل 90,0.03%
آلمان,فصل 05,0.03%
مالزی,فصل 48,0.03%
بلژیک,فصل 04,0.03%
فدراسیون روسیه,فصل 56,0.03%
انگلستان (بریتانیا),فصل 84,0.03%
چین,فصل 12,0.03%
کره (جنوبی),فصل 72,0.03%
انگلستان (بریتانیا),فصل 90,0.03%
ترکیه,فصل 75,0.03%
ترکیه,فصل 83,0.03%
چین,فصل 59,0.03%
ترکیه,فصل 70,0.03%
ترکیه,فصل 86,0.03%
ایتالیا,فصل 32,0.03%
کره (جنوبی),فصل 98,0.03%
گرجستان,فصل 87,0.03%
هلند,فصل 29,0.03%
امارات متحده عربی,فصل 70,0.03%
چین,فصل 60,0.03%
تایلند,فصل 87,0.03%
گرجستان,فصل 02,0.03%
اندونزی,فصل 44,0.03%
قبرس,فصل 84,0.03%
هند,فصل 07,0.03%
ازبکستان,فصل 38,0.03%
آلمان,فصل 40,0.03%
فدراسیون روسیه,فصل 52,0.03%
کره (جنوبی),فصل 40,0.03%
هنگ کنگ,فصل 87,0.03%
هند,فصل 90,0.03%
امارات متحده عربی,فصل 59,0.03%
هند,فصل 27,0.03%
هند,فصل 21,0.03%
چین,فصل 74,0.03%
اسپانیا,فصل 12,0.03%
ترکیه,فصل 73,0.03%
چین,فصل 96,0.03%
ازبکستان,فصل 31,0.03%
سویس,فصل 56,0.03%
آلمان,فصل 33,0.03%
هند,فصل 32,0.03%
اندونزی,فصل 09,0.03%
ازبکستان,فصل 07,0.03%
عمان,فصل 71,0.03%
اسپانیا,فصل 38,0.02%
هند,فصل 85,0.02%
چین,فصل 56,0.02%
ویتنام,فصل 84,0.02%
ترکیه,فصل 68,0.02%
بلژیک,فصل 30,0.02%
عراق,فصل 47,0.02%
لبنان,فصل 12,0.02%
کره (جنوبی),فصل 32,0.02%
امارات متحده عربی,فصل 69,0.02%
ایتالیا,فصل 33,0.02%
مالزی,فصل 87,0.02%
ترکیه,فصل 59,0.02%
تایلند,فصل 85,0.02%
چین,فصل 09,0.02%
ترکیه,فصل 76,0.02%
ارمنستان,فصل 44,0.02%
ایالات متحده,فصل 05,0.02%
اتریش,فصل 29,0.02%
مالزی,فصل 29,0.02%
اندونزی,فصل 87,0.02%
هنگ کنگ,فصل 28,0.02%
قزاقستان,فصل 23,0.02%
ایتالیا,فصل 39,0.02%
قطر,فصل 39,0.02%
هند,فصل 12,0.02%
پرتغال,فصل 90,0.02%
کویت,فصل 40,0.02%
فرانسه,فصل 29,0.02%
کره (جنوبی),فصل 73,0.02%
تایوان,فصل 39,0.02%
قزاقستان,فصل 87,0.02%
عراق,فصل 72,0.02%
آلمان,فصل 34,0.02%
امارات متحده عربی,فصل 11,0.02%
عراق,فصل 27,0.02%
لوکزامبورگ,فصل 29,0.02%
اندونزی,فصل 38,0.02%
مناطق آزاد,فصل 40,0.02%
هند,فصل 87,0.02%
ایرلند,فصل 30,0.02%
قطر,فصل 84,0.02%
هند,فصل 98,0.02%
آلمان,فصل 68,0.02%
انگلستان (بریتانیا),فصل 38,0.02%
عمان,فصل 28,0.02%
چین,فصل 30,0.02%
مناطق آزاد,فصل 84,0.02%
کره (جنوبی),فصل 30,0.02%
اتریش,فصل 02,0.02%
کره (جنوبی),فصل 52,0.02%
ایتالیا,فصل 12,0.02%
فدراسیون روسیه,فصل 24,0.02%
فدراسیون روسیه,فصل 85,0.02%
آلمان,فصل 31,0.02%
اردن,فصل 12,0.02%
ایرلند,فصل 28,0.02%
آلمان,فصل 48,0.02%
چین,فصل 58,0.02%
فرانسه,فصل 33,0.02%
ترکیه,فصل 80,0.02%
فدراسیون روسیه,فصل 72,0.02%
هنگ کنگ,فصل 47,0.02%
ازبکستان,فصل 72,0.02%
هند,فصل 39,0.02%
گرجستان,فصل 54,0.02%
دانمارک,فصل 21,0.02%
هلند,فصل 35,0.02%
هند,فصل 13,0.02%
بلژیک,فصل 90,0.02%
اسلواکی,فصل 10,0.02%
ویتنام,فصل 08,0.02%
عمان,فصل 38,0.02%
چین,فصل 13,0.02%
تایلند,فصل 90,0.02%
تایلند,فصل 20,0.01%
امارات متحده عربی,فصل 95,0.01%
سنگاپور,فصل 72,0.01%
فدراسیون روسیه,فصل 40,0.01%
سری لانکا,فصل 08,0.01%
فدراسیون روسیه,فصل 48,0.01%
امارات متحده عربی,فصل 68,0.01%
انگلستان (بریتانیا),فصل 30,0.01%
عمان,فصل 12,0.01%
مالزی,فصل 76,0.01%
عمان,فصل 32,0.01%
چین,فصل 80,0.01%
قرقیزستان,فصل 07,0.01%
چین,فصل 91,0.01%
لوکزامبورگ,فصل 35,0.01%
آلمان,فصل 28,0.01%
یونان,فصل 12,0.01%
زیمبابوه,فصل 39,0.01%
اندونزی,فصل 98,0.01%
امارات متحده عربی,فصل 37,0.01%
امارات متحده عربی,فصل 94,0.01%
هلند,فصل 33,0.01%
اندونزی,فصل 29,0.01%
یونان,فصل 38,0.01%
ترکمنستان,فصل 52,0.01%
ایتالیا,فصل 27,0.01%
آلمان,فصل 55,0.01%
سوئد,فصل 30,0.01%
افغانستان,فصل 10,0.01%
تایوان,فصل 85,0.01%
اتریش,فصل 21,0.01%
امارات متحده عربی,فصل 03,0.01%
اسلوونی,فصل 72,0.01%
چین,فصل 08,0.01%
لهستان,فصل 48,0.01%
سوئد,فصل 29,0.01%
سویس,فصل 18,0.01%
افغانستان,فصل 07,0.01%
استرالیا,فصل 12,0.01%
هنگ کنگ,فصل 30,0.01%
هند,فصل 15,0.01%
جمهوری چک,فصل 84,0.01%
چین,فصل 03,0.01%
مناطق آزاد,فصل 10,0.01%
کره (جنوبی),فصل 68,0.01%
چین,فصل 23,0.01%
هلند,فصل 15,0.01%
اندونزی,فصل 21,0.01%
اتریش,فصل 48,0.01%
ترکیه,فصل 94,0.01%
ژاپن,فصل 55,0.01%
مالزی,فصل 38,0.01%
ایالات متحده,فصل 84,0.01%
مالزی,فصل 84,0.01%
استرالیا,فصل 30,0.01%
مالزی,فصل 55,0.01%
سیشل,فصل 03,0.01%
یونان,فصل 31,0.01%
ترکیه,فصل 24,0.01%
هلند,فصل 87,0.01%
اندونزی,فصل 55,0.01%
مکزیک,فصل 29,0.01%
هلند,فصل 27,0.01%
ارمنستان,فصل 02,0.01%
هلند,فصل 39,0.01%
مناطق آزاد,فصل 85,0.01%
گرجستان,فصل 44,0.01%
امارات متحده عربی,فصل 60,0.01%
ایتالیا,فصل 31,0.01%
اسپانیا,فصل 90,0.01%
مصر,فصل 90,0.01%
اسلوونی,فصل 84,0.01%
غنا,فصل 03,0.01%
قرقیزستان,فصل 32,0.01%
ایتالیا,فصل 68,0.01%
ترکیه,فصل 58,0.01%
انگلستان (بریتانیا),فصل 39,0.01%
هلند,فصل 06,0.01%
عراق,فصل 10,0.01%
چین,فصل 15,0.01%
عراق,فصل 82,0.01%
ترکیه,فصل 26,0.01%
گرجستان,فصل 84,0.01%
ترکیه,فصل 82,0.01%
ژاپن,فصل 90,0.01%
افغانستان,فصل 52,0.01%
هلند,فصل 30,0.01%
ایالات متحده,فصل 21,0.01%
ترکیه,فصل 25,0.01%
عراق,فصل 73,0.01%
کره (جنوبی),فصل 82,0.01%
چین,فصل 17,0.01%
سویس,فصل 33,0.01%
ترکمنستان,فصل 27,0.01%
جمهوری چک,فصل 30,0.01%
ترکیه,فصل 19,0.01%
امارات متحده عربی,فصل 78,0.01%
هلند,فصل 84,0.01%
مناطق آزاد,فصل 70,0.01%
